成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
2110,2022-08-31,000922,中证红利,CSI Dividend,三钢闽光,"Sansteel Minguang Co.,Ltd.Fujian",深圳证券交易所,Shenzhen  Exchange,0.633,13.95,0.59,12748196438.0,913849207.0250896,21607112606.779663
600886,2022-08-31,000922,中证红利,CSI Dividend,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.615,18.35,1.83,86170318453.0,4695930160.92643,47087605712.02186
2419,2022-08-31,000922,中证红利,CSI Dividend,天虹股份,"Rainbow Digital Commercial Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.615,21.49,1.69,6884513248.0,320358922.66170317,4073676478.106509
600704,2022-08-31,000922,中证红利,CSI Dividend,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.605,5.92,0.8,23844462664.0,4027780855.4054055,29805578330.0
600585,2022-08-31,000922,中证红利,CSI Dividend,海螺水泥,Anhui Conch Cement Co Ltd,上海证券交易所,Shanghai  Exchange,0.603,8.39,0.92,165179261387.0,19687635445.4112,179542675420.65216
2372,2022-08-31,000922,中证红利,CSI Dividend,伟星新材,Zhejiang Weixing New Building Materials Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.595,44.43,7.48,32415420436.0,729584074.6342561,4333612357.75401
2601,2022-08-31,000922,中证红利,CSI Dividend,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.594,8.97,2.02,40634339352.0,4530026683.61204,20116009580.19802
300193,2022-08-31,000922,中证红利,CSI Dividend,佳士科技,Shenzhen Jasic Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.569,21.73,1.91,3942035366.0,181409818.95996317,2063892861.7801049
828,2022-08-31,000922,中证红利,CSI Dividend,东莞控股,Dongguan Development (Holdings) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.536,11.64,1.19,10270427881.0,882339165.0343642,8630611664.705883
601601,2022-08-31,000922,中证红利,CSI Dividend,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.526,7.5,0.88,199622085191.0,26616278025.466667,226843278626.13635
600104,2022-08-31,000922,中证红利,CSI Dividend,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.494,12.9,0.64,178289620430.0,13820900808.527132,278577531921.875
600808,2022-08-31,000922,中证红利,CSI Dividend,马钢股份,Maanshan Iron and Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.469,8.01,0.73,22860649687.0,2854013693.757803,31315958475.34247
157,2022-08-31,000922,中证红利,CSI Dividend,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.451,14.72,0.92,50505914814.0,3431108343.342391,54897733493.47826
600741,2022-08-31,000922,中证红利,CSI Dividend,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai  Exchange,0.391,11.55,1.19,58136230265.0,5033439849.783549,48853975012.60504
601636,2022-08-31,000922,中证红利,CSI Dividend,旗滨集团,Zhuzhou Kibing Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.386,13.85,2.5,29894114983.0,2158419854.3682313,11957645993.2
600688,2022-08-31,000922,中证红利,CSI Dividend,上海石化,Sinopec Shanghai Petrochemical Co Ltd,上海证券交易所,Shanghai  Exchange,0.385,-38.97,1.18,33986774390.0,-872126620.2206826,28802351177.966103
2206,2022-08-31,000922,中证红利,CSI Dividend,海利得,Zhejiang Hailide New Material Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.372,19.92,2.5,8451127937.0,424253410.49196786,3380451174.8
