成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600663,2022-08-31,000905,中证500,CSI 500,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,上海证券交易所,Shanghai  Exchange,0.139,17.69,1.86,40261290451.0,2275935017.0152626,21645855081.182793
2019,2022-08-31,000905,中证500,CSI 500,亿帆医药,"YIFAN PHARMACEUTICAL CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.139,44.4,1.65,14258668738.0,321141187.7927928,8641617416.969698
600022,2022-08-31,000905,中证500,CSI 500,山东钢铁,SHANDONG IRON AND STEEL COMPANY LTD,上海证券交易所,Shanghai  Exchange,0.139,7.92,0.78,17405013889.0,2197602763.762626,22314120370.51282
603707,2022-08-31,000905,中证500,CSI 500,健友股份,"Nanjing King-Friend Biochemical Pharmaceutical Co., Ltd",上海证券交易所,Shanghai  Exchange,0.138,22.86,4.86,28072417747.0,1228014774.5844269,5776217643.415637
2511,2022-08-31,000905,中证500,CSI 500,中顺洁柔,C&S Paper Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.138,31.53,2.85,14356822927.0,455338500.6977482,5037481728.77193
300482,2022-08-31,000905,中证500,CSI 500,万孚生物,"GUANGZHOU WONDFO BIOTECH CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.138,6.17,3.36,14532690353.0,2355379311.669368,4325205462.202381
688185,2022-08-31,000905,中证500,CSI 500,康希诺,CanSino Biologics Inc.,上海证券交易所,Shanghai  Exchange,0.138,1302.66,4.19,31883919486.0,24476010.229837406,7609527323.627685
600728,2022-08-31,000905,中证500,CSI 500,佳都科技,"Pci-Suntek Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.138,28.08,1.89,10976420813.0,390898177.1011396,5807630059.78836
2468,2022-08-31,000905,中证500,CSI 500,申通快递,"STO Express Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.136,45.45,2.13,17144984259.0,377227376.43564355,8049288384.507043
2690,2022-08-31,000905,中证500,CSI 500,美亚光电,Hefei Meiya Optoelectronic Technology Inc.,深圳证券交易所,Shenzhen  Exchange,0.135,32.98,9.43,21391216184.0,648611770.2850213,2268421652.598091
600567,2022-08-31,000905,中证500,CSI 500,山鹰国际,"Shanying International Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.135,47.58,0.78,12186711591.0,256130970.8070618,15623989219.230768
2429,2022-08-31,000905,中证500,CSI 500,兆驰股份,Shenzhen MTC Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.135,16.21,1.29,17066566088.0,1052841831.4620605,13229896192.248062
600582,2022-08-31,000905,中证500,CSI 500,天地科技,Tiandi Science & Technology Co Ltd,上海证券交易所,Shanghai  Exchange,0.134,9.09,1.07,20817102127.0,2290110244.9944997,19455235632.710278
601106,2022-08-31,000905,中证500,CSI 500,中国一重,China First Heavy Industries Co Ltd,上海证券交易所,Shanghai  Exchange,0.133,162.73,1.81,20641926610.0,126847702.39046274,11404379342.541435
