代码,序号,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2635,2200,安洁科技,14.15,1.36,0.19,117084.0,165414977.6,2.08,14.27,13.98,14.02,13.96,0.72,2.85,35.28,1.67,9667905472.0,5822048800.0,-0.14,-0.07,1.43,-15.92
688163,2201,赛伦生物,22.36,1.36,0.3,3249.0,7256050.0,1.27,22.46,22.18,22.18,22.06,0.73,1.31,39.72,2.22,2419799200.0,553714185.0,0.0,-0.09,-11.13,-30.41
300105,2202,龙源技术,6.71,1.36,0.09,100765.0,67640615.0,3.17,6.81,6.6,6.67,6.62,0.36,1.96,24.57,1.85,3483333044.0,3443662753.0,-0.15,-0.15,12.58,-1.61
600210,2203,紫江企业,5.22,1.36,0.07,148604.0,77189719.0,1.75,5.23,5.14,5.15,5.15,0.71,0.98,17.02,1.47,7917362745.0,7917362745.0,0.0,0.0,-14.43,-41.55
603980,2204,吉华集团,5.23,1.36,0.07,24372.0,12688509.0,1.74,5.24,5.15,5.18,5.16,0.55,0.35,-130.57,0.84,3661000000.0,3661000000.0,0.0,0.19,1.16,-15.24
600976,2205,健民集团,43.38,1.36,0.58,38601.0,168943190.0,4.23,44.74,42.93,43.02,42.8,1.5,2.53,16.77,4.06,6654431268.0,6627049769.0,-0.05,0.0,-3.39,-44.44
688192,2206,迪哲医药-U,31.42,1.35,0.42,5720.0,18004475.0,3.35,31.88,30.84,31.0,31.0,1.21,1.47,-18.41,5.97,12699433630.0,1219099048.0,0.06,-0.03,25.63,-15.1
2837,2207,英维克,30.68,1.35,0.41,65494.0,198199875.53,5.65,31.0,29.29,30.28,30.27,0.56,1.85,127.37,7.21,13333443016.0,10879004574.0,-0.03,0.07,33.74,-2.04
3040,2208,楚天龙,20.21,1.35,0.27,67025.0,135237358.75,2.81,20.36,19.8,19.81,19.94,0.85,3.09,65.49,6.54,9319557994.0,4376766686.0,0.05,-0.05,1.81,-23.04
1296,2209,长江材料,22.5,1.35,0.3,14133.0,31698721.25,3.15,22.82,22.12,22.2,22.2,0.6,5.29,41.31,1.57,2404332743.0,601087500.0,0.04,0.13,-1.83,-50.32
605003,2210,众望布艺,19.54,1.35,0.26,2423.0,4710764.0,1.4,19.55,19.28,19.28,19.28,0.4,0.88,14.94,1.93,2149400000.0,537350000.0,-0.05,0.0,-7.79,-30.14
2313,2211,*ST日海,6.02,1.35,0.08,40053.0,23860625.88,3.54,6.05,5.84,5.94,5.94,0.66,1.07,-3.51,0.97,2253888000.0,2250423634.0,0.0,0.0,4.51,-47.19
600525,2212,长园集团,5.27,1.35,0.07,127285.0,66850115.0,4.04,5.34,5.13,5.17,5.2,0.58,0.97,23.49,1.96,6881435051.0,6881435051.0,0.0,0.19,12.61,-11.87
300275,2213,梅安森,12.8,1.35,0.17,32914.0,41930906.17,2.3,12.89,12.6,12.63,12.63,0.6,2.24,66.32,3.25,2408580544.0,1884033382.0,-0.08,-0.16,-1.69,11.69
300703,2214,创源股份,11.3,1.35,0.15,34580.0,38919004.75,3.05,11.35,11.01,11.15,11.15,0.74,2.07,17.18,2.76,2056595932.0,1890647985.0,0.18,0.18,26.26,-0.35
2938,2215,鹏鼎控股,29.38,1.35,0.39,91850.0,269080908.15,2.55,29.65,28.91,29.01,28.99,0.67,0.41,23.9,2.82,68195557874.0,65791505528.0,-0.07,-0.07,-0.03,-29.93
