,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
23,2022-07-29,000905,中证500,CSI 500,600871,石化油服,Sinopec Oilfield Service Corporation,上海证券交易所,Shanghai  Exchange,0.12
281,2022-07-29,000905,中证500,CSI 500,601118,海南橡胶,China Hainan Rubber Industry Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.12
377,2022-07-29,000905,中证500,CSI 500,603883,老百姓,Laobaixing Pharmacy Chain Joint Stock Company,上海证券交易所,Shanghai  Exchange,0.12
360,2022-07-29,000905,中证500,CSI 500,002690,美亚光电,Hefei Meiya Optoelectronic Technology Inc.,深圳证券交易所,Shenzhen  Exchange,0.119
412,2022-07-29,000905,中证500,CSI 500,603225,新凤鸣,"Xinfengming Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.119
480,2022-07-29,000905,中证500,CSI 500,601456,国联证券,"Guolian Securities Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.119
165,2022-07-29,000905,中证500,CSI 500,600808,马钢股份,Maanshan Iron and Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.118
362,2022-07-29,000905,中证500,CSI 500,002705,新宝股份,"Guangdong Xinbao Electrical Appliances Holdings Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.117
409,2022-07-29,000905,中证500,CSI 500,300630,普利制药,"Hainan Poly Pharm. Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.117
388,2022-07-29,000905,中证500,CSI 500,603866,桃李面包,"Toly Bread Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.116
226,2022-07-29,000905,中证500,CSI 500,002281,光迅科技,Accelink Technologies Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.116
345,2022-07-29,000905,中证500,CSI 500,000540,中天金融,Zhongtian Financial Group Company Limited,深圳证券交易所,Shenzhen  Exchange,0.114
71,2022-07-29,000905,中证500,CSI 500,600811,东方集团,Orient Group Incorporation,上海证券交易所,Shanghai  Exchange,0.114
41,2022-07-29,000905,中证500,CSI 500,000537,广宇发展,Tianjin Guangyu Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.113
487,2022-07-29,000905,中证500,CSI 500,601568,北元集团,"Shaanxi Beiyuan Chemical Industry Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.113
269,2022-07-29,000905,中证500,CSI 500,000898,鞍钢股份,Angang Steel Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.112
358,2022-07-29,000905,中证500,CSI 500,601608,中信重工,"CITIC HEAVY INDUSTRIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.112
159,2022-07-29,000905,中证500,CSI 500,000158,常山北明,"Shijiazhuang ChangShan BeiMing Technology Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.112
287,2022-07-29,000905,中证500,CSI 500,000937,冀中能源,Jizhong Energy Resources Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.111
466,2022-07-29,000905,中证500,CSI 500,688321,微芯生物,"Shenzhen Chipscreen Biosciences Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.111
110,2022-07-29,000905,中证500,CSI 500,600764,中国海防,China Shipbuilding Industry Group and Marine Defense Information Against Limited,上海证券交易所,Shanghai  Exchange,0.11
26,2022-07-29,000905,中证500,CSI 500,600556,天下秀,"Inmyshow Digital Technology (Group) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.11
212,2022-07-29,000905,中证500,CSI 500,601333,广深铁路,Guangshen Railway Company Limited,上海证券交易所,Shanghai  Exchange,0.109
233,2022-07-29,000905,中证500,CSI 500,601991,大唐发电,"Datang International Power Generation Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.109
342,2022-07-29,000905,中证500,CSI 500,000089,深圳机场,Shenzhen Airport Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.109
307,2022-07-29,000905,中证500,CSI 500,300212,易华录,"BEIJING E-HUALU INFORMATION TECHNOLOGY CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.109
35,2022-07-29,000905,中证500,CSI 500,600120,浙江东方,Zhejiang Orient Holdings Co Ltd,上海证券交易所,Shanghai  Exchange,0.108
470,2022-07-29,000905,中证500,CSI 500,001914,招商积余,"China Merchants Property Operation & Service Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.108
187,2022-07-29,000905,中证500,CSI 500,002233,塔牌集团,Guangdong Tapai Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.107
27,2022-07-29,000905,中证500,CSI 500,600195,中牧股份,China Animal Husbandry Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.107
331,2022-07-29,000905,中证500,CSI 500,000402,金 融 街,Financial Street Holding Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.107
330,2022-07-29,000905,中证500,CSI 500,000156,华数传媒,"WASU MEDIA HOLDING CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.107
28,2022-07-29,000905,中证500,CSI 500,600167,联美控股,"Luenmei Holding Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.106
219,2022-07-29,000905,中证500,CSI 500,002110,三钢闽光,"Sansteel Minguang Co.,Ltd.Fujian",深圳证券交易所,Shenzhen  Exchange,0.106
411,2022-07-29,000905,中证500,CSI 500,601200,上海环境,"Shanghai Environment Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.105
460,2022-07-29,000905,中证500,CSI 500,688088,虹软科技,ArcSoft Corporation Limited,上海证券交易所,Shanghai  Exchange,0.105
301,2022-07-29,000905,中证500,CSI 500,000488,晨鸣纸业,Shandong Chenming Paper Holdings Ltd,深圳证券交易所,Shenzhen  Exchange,0.104
258,2022-07-29,000905,中证500,CSI 500,002434,万里扬,"Zhejiang Wanliyang Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.104
133,2022-07-29,000905,中证500,CSI 500,000685,中山公用,Zhongshan Public Utilities Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.103
288,2022-07-29,000905,中证500,CSI 500,000959,首钢股份,Beijing Shougang Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.103
211,2022-07-29,000905,中证500,CSI 500,002390,信邦制药,Guizhou Xinbang Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.103
392,2022-07-29,000905,中证500,CSI 500,601611,中国核建,China Nuclear Engineering Corporation Limited,上海证券交易所,Shanghai  Exchange,0.103
257,2022-07-29,000905,中证500,CSI 500,002174,游族网络,"YOUZU Interactive CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.103
186,2022-07-29,000905,中证500,CSI 500,002081,金螳螂,Suzhou Gold Mantis Construction Decoration Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.102
29,2022-07-29,000905,中证500,CSI 500,600126,杭钢股份,Hang Zhou Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.102
39,2022-07-29,000905,中证500,CSI 500,000967,盈峰环境,Infore Environment Technology Group Co. Ltd.,深圳证券交易所,Shenzhen  Exchange,0.101
405,2022-07-29,000905,中证500,CSI 500,603638,艾迪精密,"Yantai Eddie Precision Machinery Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.1
30,2022-07-29,000905,中证500,CSI 500,601098,中南传媒,China South Publishing & Media Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.1
202,2022-07-29,000905,中证500,CSI 500,002010,传化智联,"Transfar Zhilian Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.1
265,2022-07-29,000905,中证500,CSI 500,002416,爱施德,Shenzhen Aisidi Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.1
120,2022-07-29,000905,中证500,CSI 500,600707,彩虹股份,Irico Display Devices Co Ltd,上海证券交易所,Shanghai  Exchange,0.099
158,2022-07-29,000905,中证500,CSI 500,002387,维信诺,Visionox Technology Inc.,深圳证券交易所,Shenzhen  Exchange,0.099
169,2022-07-29,000905,中证500,CSI 500,600329,达仁堂,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited,上海证券交易所,Shanghai  Exchange,0.099
161,2022-07-29,000905,中证500,CSI 500,600446,金证股份,Shenzhen Kingdom Technology Co Ltd,上海证券交易所,Shanghai  Exchange,0.099
423,2022-07-29,000905,中证500,CSI 500,001965,招商公路,"China Merchants Expressway Network Technology Holdings Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.099
83,2022-07-29,000905,中证500,CSI 500,600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,上海证券交易所,Shanghai  Exchange,0.098
48,2022-07-29,000905,中证500,CSI 500,000990,诚志股份,Chengzhi Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.098
303,2022-07-29,000905,中证500,CSI 500,000528,柳工,Guangxi Liugong Machinery Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.098
424,2022-07-29,000905,中证500,CSI 500,002925,盈趣科技,Xiamen Intretech Inc.,深圳证券交易所,Shenzhen  Exchange,0.098
347,2022-07-29,000905,中证500,CSI 500,000563,陕国投A,"Shaanxi International Trust Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.097
459,2022-07-29,000905,中证500,CSI 500,688029,南微医学,"Micro-Tech (Nanjing) Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.097
229,2022-07-29,000905,中证500,CSI 500,002382,蓝帆医疗,"BLUE SAIL MEDICAL CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.096
45,2022-07-29,000905,中证500,CSI 500,002423,中粮资本,"COFCO CAPITAL HOLDINGS CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.096
146,2022-07-29,000905,中证500,CSI 500,002146,荣盛发展,Risesun Real Estate Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.095
316,2022-07-29,000905,中证500,CSI 500,300257,开山股份,Zhejiang Kaishan Compressor Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.095
62,2022-07-29,000905,中证500,CSI 500,600095,湘财股份,"XIANGCAI CO.,LTD",上海证券交易所,Shanghai  Exchange,0.094
443,2022-07-29,000905,中证500,CSI 500,002948,青岛银行,"BANK OF QINGDAO CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.094
431,2022-07-29,000905,中证500,CSI 500,600901,江苏租赁,"Jiangsu Financial Leasing Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.094
413,2022-07-29,000905,中证500,CSI 500,002867,周大生,"CHOW TAI SENG JEWELLERY CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.094
488,2022-07-29,000905,中证500,CSI 500,601187,厦门银行,"Xiamen Bank Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.093
270,2022-07-29,000905,中证500,CSI 500,002399,海普瑞,Shenzhen Hepalink Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.093
353,2022-07-29,000905,中证500,CSI 500,603000,人民网,"People.cn CO.,LTD",上海证券交易所,Shanghai  Exchange,0.092
442,2022-07-29,000905,中证500,CSI 500,601598,中国外运,Sinotrans Limited,上海证券交易所,Shanghai  Exchange,0.092
115,2022-07-29,000905,中证500,CSI 500,600717,天津港,Tianjin Port Co Ltd,上海证券交易所,Shanghai  Exchange,0.09
195,2022-07-29,000905,中证500,CSI 500,600307,酒钢宏兴,Gansu Jiu Steel Group Hongxing Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.09
18,2022-07-29,000905,中证500,CSI 500,600006,东风汽车,Dongfeng Automobile Co Ltd,上海证券交易所,Shanghai  Exchange,0.089
404,2022-07-29,000905,中证500,CSI 500,603228,景旺电子,"Shenzhen Kinwong Electronic Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.089
167,2022-07-29,000905,中证500,CSI 500,600376,首开股份,"Beijing Capital Development Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.089
322,2022-07-29,000905,中证500,CSI 500,000671,阳光城,"Sunshine City Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.088
452,2022-07-29,000905,中证500,CSI 500,603317,天味食品,"Sichuan Teway Food Group Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.088
450,2022-07-29,000905,中证500,CSI 500,603379,三美股份,"Zhejiang Sanmei Chemical Industry Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.087
240,2022-07-29,000905,中证500,CSI 500,600623,华谊集团,Shanghai Huayi Group Corporation Limited,上海证券交易所,Shanghai  Exchange,0.087
38,2022-07-29,000905,中证500,CSI 500,000961,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.085
99,2022-07-29,000905,中证500,CSI 500,000718,苏宁环球,Suning Universal Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.085
2,2022-07-29,000905,中证500,CSI 500,002242,九阳股份,Joyoung Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.084
332,2022-07-29,000905,中证500,CSI 500,000415,渤海租赁,"Bohai Leasing Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.083
491,2022-07-29,000905,中证500,CSI 500,688819,天能股份,"Tianneng Battery Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.082
494,2022-07-29,000905,中证500,CSI 500,600906,财达证券,"CAIDA SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.081
433,2022-07-29,000905,中证500,CSI 500,603650,彤程新材,"Red Avenue New Materials Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.081
454,2022-07-29,000905,中证500,CSI 500,600968,海油发展,CNOOC Energy Technology & Services Limited,上海证券交易所,Shanghai  Exchange,0.081
299,2022-07-29,000905,中证500,CSI 500,601928,凤凰传媒,Jiangsu Phoenix Publishing & Media Co Ltd,上海证券交易所,Shanghai  Exchange,0.078
243,2022-07-29,000905,中证500,CSI 500,600835,上海机电,Shanghai Mechanical & Electrical Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.078
371,2022-07-29,000905,中证500,CSI 500,601969,海南矿业,"Hainan Mining Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.078
113,2022-07-29,000905,中证500,CSI 500,600787,中储股份,"CMST Development Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.076
170,2022-07-29,000905,中证500,CSI 500,600339,中油工程,China Petroleum Engineering Corporation,上海证券交易所,Shanghai  Exchange,0.075
197,2022-07-29,000905,中证500,CSI 500,600648,外高桥,"SHANGHAI WAIGAOQIAO FREE TRADE ZONE GROUP CO., LTD.",上海证券交易所,Shanghai  Exchange,0.074
448,2022-07-29,000905,中证500,CSI 500,600928,西安银行,"BANK OF XI'AN CO., LTD.",上海证券交易所,Shanghai  Exchange,0.074
43,2022-07-29,000905,中证500,CSI 500,000553,安道麦A,ADAMA Ltd.,深圳证券交易所,Shenzhen  Exchange,0.073
340,2022-07-29,000905,中证500,CSI 500,000031,大悦城,"Grandjoy Holdings Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.072
410,2022-07-29,000905,中证500,CSI 500,601228,广州港,GUANGZHOU PORT COMPANY LIMITED,上海证券交易所,Shanghai  Exchange,0.071
397,2022-07-29,000905,中证500,CSI 500,002815,崇达技术,"Suntak Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.069
318,2022-07-29,000905,中证500,CSI 500,002563,森马服饰,Zhejiang Semir Garment Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.067
483,2022-07-29,000905,中证500,CSI 500,300869,康泰医学,"CONTEC MEDICAL SYSTEMS CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.067
98,2022-07-29,000905,中证500,CSI 500,000028,国药一致,China National Accord Medicines Corporation Ltd.,深圳证券交易所,Shenzhen  Exchange,0.067
250,2022-07-29,000905,中证500,CSI 500,601139,深圳燃气,Shenzhen Gas Co Ltd,上海证券交易所,Shanghai  Exchange,0.064
444,2022-07-29,000905,中证500,CSI 500,002945,华林证券,"ChinaLin Securities Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.064
136,2022-07-29,000905,中证500,CSI 500,000717,韶钢松山,SGIS Songshan Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.064
425,2022-07-29,000905,中证500,CSI 500,603056,德邦股份,"DEPPON LOGISTICS Co., LTD.",上海证券交易所,Shanghai  Exchange,0.064
14,2022-07-29,000905,中证500,CSI 500,600377,宁沪高速,Jiangsu Expressway Co Ltd,上海证券交易所,Shanghai  Exchange,0.063
434,2022-07-29,000905,中证500,CSI 500,601869,长飞光纤,Yangtze Optical Fibre and Cable Joint Stock Limited Company,上海证券交易所,Shanghai  Exchange,0.063
445,2022-07-29,000905,中证500,CSI 500,601298,青岛港,"Qingdao Port International Co., Ltd",上海证券交易所,Shanghai  Exchange,0.06
329,2022-07-29,000905,中证500,CSI 500,000062,深圳华强,Shenzhen Huaqiang Industry Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.06
390,2022-07-29,000905,中证500,CSI 500,603868,飞科电器,"Shanghai Flyco Electrical Appliance Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.059
78,2022-07-29,000905,中证500,CSI 500,600299,安迪苏,Bluestar Adisseo Company,上海证券交易所,Shanghai  Exchange,0.059
272,2022-07-29,000905,中证500,CSI 500,000869,张  裕A,Yantai Changyu Pioneer Wine Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.058
379,2022-07-29,000905,中证500,CSI 500,603355,莱克电气,"Kingclean Electric Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.055
440,2022-07-29,000905,中证500,CSI 500,001872,招商港口,"China Merchants Port Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.055
355,2022-07-29,000905,中证500,CSI 500,002653,海思科,"Haisco Pharmaceutical Group Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.052
84,2022-07-29,000905,中证500,CSI 500,600350,山东高速,Shandong Hi-speed Company Limited,上海证券交易所,Shanghai  Exchange,0.051
468,2022-07-29,000905,中证500,CSI 500,603786,科博达,"KEBODA TECHNOLOGY Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.049
496,2022-07-29,000905,中证500,CSI 500,601156,东航物流,"Eastern Air Logistics Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.048
498,2022-07-29,000905,中证500,CSI 500,600927,永安期货,"Yongan Futures Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.048
430,2022-07-29,000905,中证500,CSI 500,300741,华宝股份,"Huabao Flavours & Fragrances Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.047
33,2022-07-29,000905,中证500,CSI 500,600823,世茂股份,Shanghai Shi Mao Co Ltd,上海证券交易所,Shanghai  Exchange,0.047
499,2022-07-29,000905,中证500,CSI 500,001227,兰州银行,"BANK OF LANZHOU CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.044
426,2022-07-29,000905,中证500,CSI 500,601828,美凯龙,Red Star Macalline Group Corporation Ltd.,上海证券交易所,Shanghai  Exchange,0.043
394,2022-07-29,000905,中证500,CSI 500,603515,欧普照明,"Opple Lighting Co., LTD.",上海证券交易所,Shanghai  Exchange,0.039
495,2022-07-29,000905,中证500,CSI 500,001203,大中矿业,"Inner Mongolia Dazhong Mining Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.039
497,2022-07-29,000905,中证500,CSI 500,601665,齐鲁银行,"QILU BANK CO., LTD.",上海证券交易所,Shanghai  Exchange,0.035
183,2022-07-29,000905,中证500,CSI 500,601003,柳钢股份,Liuzhou Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.03
472,2022-07-29,000905,中证500,CSI 500,603719,良品铺子,"Bestore Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.03
447,2022-07-29,000905,中证500,CSI 500,002946,新乳业,"New Hope Dairy Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.03
477,2022-07-29,000905,中证500,CSI 500,600956,新天绿能,China Suntien Green Energy Corporation Limited,上海证券交易所,Shanghai  Exchange,0.029
420,2022-07-29,000905,中证500,CSI 500,002901,大博医疗,Double Medical Technology Inc.,深圳证券交易所,Shenzhen  Exchange,0.025
369,2022-07-29,000905,中证500,CSI 500,600917,重庆燃气,Chongqing Gas Group Corporation Ltd.,上海证券交易所,Shanghai  Exchange,0.022
461,2022-07-29,000905,中证500,CSI 500,603983,丸美股份,"Guangdong Marubi Biotechnology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.021
